# source	meet_id	div_id	n	c_pct	iqr_pct	z	fan	fan_ratio	already
tfrrs	24565	0	21	+23.26	3.59	+7.3	-	0.77	
anet	184641	751703	12	+25.16	4.97	+7.3	-	1.07	
anet	15397	112555	166	+22.42	3.30	+7.3	-	0.71	
anet	127721	518256	18	+31.13	11.29	+7.3	FAN	2.42	
anet	226483	904086	48	+23.51	6.56	+7.3	-	1.41	
anet	130013	528847	78	+22.73	5.13	+7.3	-	1.10	
anet	96420	384137	25	-21.13	9.32	-7.3	FAN	2.00	
anet	61700	264550	15	+25.58	6.15	+7.3	-	1.32	
anet	46401	198235	36	+23.53	5.92	+7.3	-	1.27	
anet	117799	509864	35	+37.97	21.91	+7.3	FAN	4.69	
anet	196607	788618	25	+24.12	6.02	+7.2	-	1.29	
anet	17362	77612	13	+26.04	6.19	+7.2	-	1.33	
anet	243750	971052	51	+22.69	4.58	+7.2	-	0.98	
anet	114029	465061	48	-18.61	5.20	-7.2	-	1.11	
anet	233421	932419	47	+23.16	6.11	+7.2	-	1.31	
anet	232109	926316	31	-18.80	5.05	-7.2	-	1.08	
anet	27354	119184	23	+23.22	4.58	+7.2	-	0.98	
anet	94570	374267	32	+23.76	6.49	+7.2	-	1.39	
anet	123734	513691	43	-20.73	11.72	-7.2	FAN	2.51	
anet	270255	1079574	13	+29.03	8.55	+7.2	FAN	1.83	
anet	24841	108974	16	+31.10	10.93	+7.2	FAN	2.34	
tfrrs	8318	0	66	-19.92	12.02	-7.2	FAN	2.58	
anet	268322	1066675	30	+24.03	6.97	+7.2	-	1.49	
anet	240453	960623	15	+24.33	5.31	+7.1	-	1.14	
anet	92283	399293	43	-19.73	9.45	-7.1	FAN	2.02	
anet	68327	289118	12	+23.82	4.23	+7.1	-	0.91	
anet	141341	593322	13	+32.84	11.02	+7.1	FAN	2.36	
anet	259399	1029968	63	+22.02	3.48	+7.1	-	0.75	
anet	97642	389107	50	+22.22	4.17	+7.1	-	0.89	
anet	201568	810028	26	+25.79	9.01	+7.1	FAN	1.93	OVERRIDE
anet	228564	911433	26	+22.49	3.83	+7.1	-	0.82	
tfrrs	19944	1	12	-21.74	7.63	-7.1	-	1.63	
anet	204371	819879	13	+26.35	6.94	+7.1	-	1.49	
anet	160107	664834	68	-18.58	7.78	-7.1	-	1.67	
anet	269411	1071948	19	+22.65	3.85	+7.1	-	0.83	
tfrrs	9389	2	19	+26.59	8.65	+7.1	FAN	1.85	
anet	256749	1020603	28	-18.98	6.25	-7.1	-	1.34	
anet	195182	784871	18	-26.80	15.57	-7.1	FAN	3.33	
anet	166363	686959	25	+22.17	3.50	+7.1	-	0.75	
anet	126529	511765	14	+27.90	8.51	+7.0	FAN	1.82	
anet	217687	870479	31	+22.54	4.97	+7.0	-	1.06	OVERRIDE
anet	87965	349488	20	+23.32	5.35	+7.0	-	1.15	
anet	259399	1029965	45	+21.83	3.73	+7.0	-	0.80	
anet	270547	1077393	22	+24.51	7.30	+7.0	-	1.56	OVERRIDE
anet	26663	219611	17	+27.64	9.30	+7.0	FAN	1.99	
anet	33116	143724	20	-47.64	41.96	-7.0	FAN	8.99	
anet	159147	661145	27	+23.21	6.19	+7.0	-	1.33	
anet	196735	797815	48	+23.17	8.25	+7.0	-	1.77	OVERRIDE
anet	25145	110190	65	+21.60	3.82	+7.0	-	0.82	
anet	211388	844822	38	+22.13	5.03	+7.0	-	1.08	OVERRIDE
anet	193287	779219	31	-17.90	3.72	-7.0	-	0.80	
anet	247816	989816	25	-21.21	10.78	-7.0	FAN	2.31	
anet	30055	130643	16	+23.97	5.88	+7.0	-	1.26	
anet	57808	273702	13	-21.19	7.82	-6.9	-	1.68	
anet	248532	1007544	12	+28.08	8.33	+6.9	-	1.78	
anet	211388	844820	22	+21.92	3.81	+6.9	-	0.82	
anet	140686	586355	25	+23.02	6.19	+6.9	-	1.33	
anet	213391	878724	66	+21.70	5.77	+6.9	-	1.24	
anet	140904	589872	12	+24.21	5.49	+6.9	-	1.18	OVERRIDE
anet	178848	731333	31	-18.88	7.41	-6.9	-	1.59	
