  168268    696272  ov=  6000.0  UNIFORM_POS  n=  60 +60   -0    clean=0    iqr= 10.2 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  247121    989912  ov=  3200.0  PARTIAL      n=  13 +13   -0    clean=0    iqr= 20.5 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  243310    988304  ov=  3218.0  UNIFORM_POS  n=  22 +21   -0    clean=1    iqr=  7.0 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  236734    946744  ov=  5200.0  UNIFORM_POS  n=  16 +16   -0    clean=0    iqr= 10.2 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  235938    943753  ov=  6437.0  UNIFORM_POS  n=  83 +80   -0    clean=3    iqr=  9.3 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  200841    806113  ov=  3000.0  PARTIAL      n=  66 +63   -0    clean=3    iqr= 14.7 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  185574    754596  ov=  3000.0  UNIFORM_POS  n=  30 +28   -0    clean=2    iqr=  3.0 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  149010    621665  ov=  2500.0  PARTIAL      n=  12 +12   -0    clean=0    iqr= 14.9 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  117799    509865  ov=  4828.0  PARTIAL      n=  37 +37   -0    clean=0    iqr= 13.5 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  107022    435012  ov=  1600.0  PARTIAL      n=  18 +17   -0    clean=1    iqr= 10.9 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   97642    389106  ov=  3000.0  PARTIAL      n=  73 +68   -0    clean=5    iqr= 12.0 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   79584    329626  ov=  2574.0  PARTIAL      n=  25 +0    -24   clean=1    iqr= 12.1 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   35440    304735  ov=  5000.0  UNIFORM_POS  n= 115 +111  -0    clean=4    iqr=  6.0 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   15249         1  ov=    4000  UNIFORM_NEG  n=  32 +0    -32   clean=0    iqr=  3.1 fan=-  wrong snap, label too SHORT -> page-verify drafted value
  243310    988311  ov=  3218.0  PARTIAL      n=  64 +60   -0    clean=4    iqr= 11.5 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  153854    640872  ov=  2414.0  UNIFORM_POS  n=  30 +27   -0    clean=3    iqr=  7.7 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  146305    623113  ov=  3000.0  PARTIAL      n=  65 +64   -0    clean=1    iqr= 16.6 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  127991    519620  ov=  3200.0  UNIFORM_POS  n=  80 +71   -0    clean=9    iqr=  9.5 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  127353    516524  ov=  6000.0  PARTIAL      n=  62 +0    -53   clean=9    iqr= 11.6 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   97416    388176  ov=  3000.0  PARTIAL      n=  55 +50   -0    clean=5    iqr= 15.5 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   48570    207175  ov=  5000.0  PARTIAL      n=  55 +0    -46   clean=9    iqr= 14.4 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   13575         0  ov=  3200.0  PARTIAL      n= 157 +0    -137  clean=20   iqr= 11.2 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  270255   1079573  ov=  4000.0  UNIFORM_POS  n=  33 +33   -0    clean=0    iqr=  9.2 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   97153    387082  ov=  5000.0  UNIFORM_POS  n=  30 +30   -0    clean=0    iqr=  9.3 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   76646    304759  ov=  3218.0  UNIFORM_POS  n=  44 +43   -0    clean=1    iqr= 10.2 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   26663    219610  ov=  5000.0  UNIFORM_POS  n=  39 +37   -0    clean=2    iqr=  7.5 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   11543         2  ov=4828.032  PARTIAL      n=  46 +45   -0    clean=1    iqr= 12.0 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   72762    296344  ov=  1609.0  PARTIAL      n= 165 +0    -121  clean=44   iqr= 11.0 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   54536    232360  ov=  3000.0  PARTIAL      n=  62 +56   -0    clean=6    iqr= 14.6 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   46448    198461  ov=  3000.0  PARTIAL      n=  30 +29   -0    clean=1    iqr= 11.2 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
    4707         1  ov=    6437  UNIFORM_NEG  n=  76 +0    -72   clean=4    iqr=  5.6 fan=-  wrong snap, label too SHORT -> page-verify drafted value
  234252    936668  ov=  3000.0  UNIFORM_POS  n=  17 +17   -0    clean=0    iqr=  8.7 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  206323    827103  ov=  5000.0  PARTIAL      n=  17 +17   -0    clean=0    iqr= 11.6 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   19921     88782  ov=  3000.0  UNIFORM_POS  n=  29 +27   -0    clean=2    iqr=  9.8 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
    5431         5  ov=  8000.0  UNIFORM_POS  n=  17 +17   -0    clean=0    iqr=  2.2 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
    5431         4  ov=  8000.0  UNIFORM_POS  n=  42 +42   -0    clean=0    iqr=  4.5 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  250011    994101  ov=  3000.0  UNIFORM_POS  n=  15 +15   -0    clean=0    iqr=  9.5 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  142026    594542  ov=  4828.0  PARTIAL      n=  15 +15   -0    clean=0    iqr= 11.2 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  135661    572893  ov=  2500.0  PARTIAL      n=  20 +0    -17   clean=3    iqr= 11.8 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  100835    396682  ov=  3000.0  UNIFORM_POS  n=  15 +15   -0    clean=0    iqr=  8.6 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   24565         1  ov=  8000.0  UNIFORM_POS  n=  16 +16   -0    clean=0    iqr=  7.1 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   12843         1  ov=  8000.0  UNIFORM_POS  n=  16 +16   -0    clean=0    iqr=  7.6 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
    6327         0  ov= 8046.72  PARTIAL      n= 175 +100  -4    clean=71   iqr= 61.3 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
    5431         6  ov=  8000.0  UNIFORM_POS  n=  19 +19   -0    clean=0    iqr=  3.5 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  260254   1033611  ov=  3000.0  UNIFORM_POS  n=  25 +25   -0    clean=0    iqr=  5.0 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  250472    996653  ov=  1609.0  UNIFORM_POS  n=  17 +16   -0    clean=1    iqr=  7.0 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  250011    994100  ov=  3000.0  UNIFORM_POS  n=  12 +12   -0    clean=0    iqr=  4.5 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  244749    974464  ov=  3218.0  PARTIAL      n=  18 +15   -0    clean=3    iqr= 11.9 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  233869    934482  ov=  5000.0  UNIFORM_POS  n=  13 +12   -0    clean=1    iqr=  8.2 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  121214    487180  ov=  3000.0  UNIFORM_POS  n=  55 +53   -0    clean=2    iqr= 10.4 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  110241    436455  ov=  2500.0  PARTIAL      n=  17 +17   -0    clean=0    iqr= 12.7 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
