# n_meets	state	city	venue_name	location_raw	gps_lat	gps_long   (fill the last two with your geocoder)
2	IN		Ft. Wayne Northrop	Ft. Wayne Northrop 7001 Coldwater Rd. Fort Wayne, IN 46825		
2	NJ		Brookdale CC	Brookdale CC 765 Newman Springs Road Lincroft, NJ 07738		
2	PA		Elizabethtown Solar Array Course	Elizabethtown Solar Array Course Elizabethtown, PA 17022		
2	IN		Hanover, IN	Hanover, IN Hanover, IN 47243		
2	OH		Kenyon XC Course	Kenyon XC Course Gambier, OH 43022		
2	VA		Rogers Stadium	Rogers Stadium Ettrick, VA 23803		
2	GA		7 Mile Farm	7 Mile Farm Statesboro, GA 30066		
2	CA		www.finishedresults.com	www.finishedresults.com San Bernardino, CA 92093		
2	ME		University of Maine	University of Maine College Ave Orono, ME 04469		
2	PA		Elizabethtown College Campus Loop	Elizabethtown College Campus Loop Elizabethtown, PA 17022		
2	VA		Petersburg National Battlefield	Petersburg National Battlefield Petersburg, VA 23806		
2	TN		Shelby Farms CC Course	Shelby Farms CC Course Memphis, TN 38112		
2	TN	Knoxville	Sequoyah Hills Park	Sequoyah Hills Park Knoxville, TN		
2	TX		Houston	Houston Houston, TX 77204		
2	NE		Chadron State College	Chadron State College 1000 Main Street Chadron, NE 69337		
2	FL		FSDB	FSDB FSDB, St. Augustine, FL 32084		
2	VA		Bridgewater College	Bridgewater College 402 E. College St. Bridgewater, VA 22812		
2	SC		Winthrop Farm Course	Winthrop Farm Course Rock Hill, SC 29733		
2	VA		VSU Campus-Rogers Stadium	VSU Campus-Rogers Stadium 1 Hayden Drive Petersburg, VA 23806		
2	NM	Las Vegas	Gene Torres Golf Course	Gene Torres Golf Course Las Vegas, NM		
2	WI		Cole Acres Country Club	Cole Acres Country Club Platteville, WI 53818		
2	PA		Bloomsburg	Bloomsburg Bloomsburg, PA 17815		
2	MD		Utica Park	Utica Park 10200-B Old Frederick Rd Frederick, MD		
2	VT		Thetford	Thetford PO Box 190 Academy Road Thetford Academy, VT 05074		
2	PA		Mingo Creek Park	Mingo Creek Park Finleyville, PA 15332		
2	NH	Bow	Bow High School	Bow High School Bow, NH		
2	FL		Fred Poppe Regional Park	Fred Poppe Regional Park Palm Bay, FL 32907		
2	PA	Latrobe	St. Vincent	St. Vincent Latrobe, PA		
2	MD		Maplehurst Country Club	Maplehurst Country Club Frostburg, MD 21532		
2	GA		Covenant College Cross-Country Course	Covenant College Cross-Country Course Lookout Mountain, GA 30750		
2	NY	Hamburg	Hilbert	Hilbert Hamburg, NY		
2	SC		Owens Field Park	Owens Field Park 1401 Hamilton Blvd Columbia, SC 29205		
2	OR		Clackamas Community College	Clackamas Community College Oregon City, OR 97045		
2	NJ		saint peters university	saint peters university jersey city, NJ 07304		
2	NC		Lake Kristi	Lake Kristi 3933 Mobleys Bridge Road Grimesland, NC 27837.		
2	IN	Ligonier	West Noble Schools	West Noble Schools Ligonier, IN		
2	PA		Haverford	Haverford Haverford, PA 19013		
2	FL	Ave Maria	Ave Maria	Ave Maria Ave Maria, FL		
2	WV		Crispin Golf Course- Oglebay Resort	Crispin Golf Course- Oglebay Resort Wheeling, WV 26003		
2	PA		Bucknell West Fields	Bucknell West Fields Lewisburg, PA 17837		
2	NC		Salisbury Community Park XC Course	Salisbury Community Park XC Course Salisbury, NC 28147		
2	VA		New Market Battlefield State Historical Park	New Market Battlefield State Historical Park New Market, VA 22807		
2	PA		Alumni XC	Alumni XC 370 Lancaster Ave Haverford, PA 19041		
2	FL		East Ridge High School	East Ridge High School 13322 Excalibur Rd Clermont, FL 34711		
2	MI		RB	RB Fremont, MI 49412		
2	MI		Fremont	Fremont 101 Main Fremont, MI 40412		
2	WI		Norbuck Park	Norbuck Park Marquette, WI 49855		
2	MD		Mount St. Mary's Univerisity	Mount St. Mary's Univerisity Emmitsburg, MD 21727		
2	OH		Kenyon College	Kenyon College Gambier, OH 12345		
2	MN		Les Bolstad Golf Course	Les Bolstad Golf Course Falcon Heights, MN 55441		
2	AZ		Mesa Thunderbird Cross Country Classic	Mesa Thunderbird Cross Country Classic , AZ		
2	NH		Sanborn Regional High School	Sanborn Regional High School Kingston, NH 13323		
2	PA		St Vincent College	St Vincent College Latrobe, PA 15650		
2	KS		Sand Plum	Sand Plum Hays, KS 67601		
2	WV		VA Park	VA Park Clarksburg, WV 23601		
2	AL		TRM	TRM , AL		
2	FL		South County Regional Park	South County Regional Park Boca Raton, FL 33431		
2	VA		Virginia Tech	Virginia Tech 185 Beamer Way Blacksburg, VA 24060		
2	MD	City Not Supplied	McDaniel	McDaniel City Not Supplied, MD		
2	PA		Alumni Cross Country Course	Alumni Cross Country Course Haverford, PA 19041		
2	NC	Wingate	Wingate University	Wingate University Wingate, NC		
2	TX		South Plains College Track	South Plains College Track Levelland, TX 79336		
2	GA		AUC Campus	AUC Campus Atlanta, GA 30066		
2	VA	Kernstown	Kernstown Battlefield	Kernstown Battlefield Kernstown, VA		
2	AR		Ox Bow Park	Ox Bow Park 23033 CR 45 Goshen, AR 46516		
2	IN		Ft. Wayne Northrop	Ft. Wayne Northrop Fort Wayne, IN 46825		
2	NH		Hopkinton State Fairgrounds	Hopkinton State Fairgrounds Hopkinton, NH 03229		
2	IA		Central College	Central College Pella, IA 50428		
2	FL		RAM's XC Course	RAM's XC Course Lake Mary, FL 32746		
2	IN	Greentown	Howard County Fairgrounds	Howard County Fairgrounds Greentown, IN		
2	ME		UMaine	UMaine Univ of Maine Orono, ME 04469		
2	FL		Holloway Park	Holloway Park Lakeland, FL 11111		
2	FL		Pompano Municipal	Pompano Municipal Pompano Beach, FL 33060		
2			Coakley Middle Schooll	Coakley Middle Schooll Norwood, MA 2062		
2	KS		Valley Point Golf Course	Valley Point Golf Course Valley Center, KS 67147		
2	VA		VSU	VSU Petersburg, VA 23806		
2	KS		Colby Country Club	Colby Country Club Colby, KS 67701		
2	IN		Indiana University Cross-Country Course	Indiana University Cross-Country Course Bloomington, IN 47408		
2	MN		Saint Mary's University MN	Saint Mary's University MN 700 Terrace Hts #62 Winona, MN 55987		
2			Rock the Desert Festival Field	Rock the Desert Festival Field Midland, TX 7971		
2			Wellsville Cross Country Course	Wellsville Cross Country Course Wellsville, Kansas 66092		
2	TX		WTC Soccer Complex	WTC Soccer Complex Snyder, TX 00000		
2	TX		Angelo State Cross Country Course	Angelo State Cross Country Course San Angelo, TX 76904		
2	FL	Palm Bay	Bayside HS	Bayside HS Palm Bay, FL		
2	FL		Jensen Beach High School	Jensen Beach High School Jensen Beach, FL 34957		
2	GA		Boling Park	Boling Park 1098 Marietta Hwy Canton, GA 30114		
2	MN		Bethany Lutheran College	Bethany Lutheran College Mankato, MN 56001		
2	FL		New Smyrna Beach	New Smyrna Beach 100 Barracuda Blvd. N. Smyrna Beach, FL 32169		
2	AL		Blakeley Park	Blakeley Park Spanish Fort, AL 36527		
2	FL		Cedar Key	Cedar Key Cedar Key, FL 32625		
2	PA		PSU-Brandywine	PSU-Brandywine Media,, PA 19063		
2			Valley Point Golf Course	Valley Point Golf Course Valley Center, Kansas 67147		
2	OH		Gorby Family Cross Country Course	Gorby Family Cross Country Course 7574 Columbiana-Canfield Rd. Canfield, OH 44406		
2	WI		2006 USATF Minnesota	2006 USATF Minnesota Marquette, WI 49855		
2	GA		Ga. Industrial ChildrenÃ¢Â€Â™s Home	Ga. Industrial ChildrenÃ¢Â€Â™s Home Macon, GA 30066		
2	WI		Wayne E. Dannehl Cross Country Course	Wayne E. Dannehl Cross Country Course Kenosha, WI 53141		
2	KS	Liberal	Arkalon Park	Arkalon Park Liberal, KS		
2	PA	Pittsburgh	La Roche University	La Roche University Pittsburgh, PA		
2	NH		Colby-Sawyer College	Colby-Sawyer College New London, NH 03257		
2	LA		McNeese State	McNeese State Lake Charles, LA 70605		
2	FL		Monsignor Pace	Monsignor Pace 15600 NW 32nd Avenue Miami, FL 33054		
2	MA		Gordon College	Gordon College Bennett Center Wenham, MA 01984		
2	AL		Blakeley Park	Blakeley Park 9300 Lawson Rd. Spanish Fort, AL 36527		
2	TX		North East Metropolitan Park	North East Metropolitan Park Pflugerville, TX 78727		
2	IN		Columbia City	Columbia City Columbia City, IN 46725		
