# source	meet_id	div_id	n	c_pct	iqr_pct	z	already
tfrrs	82717	None	96	-8.65	5.78	-5.6	
tfrrs	70331	None	41	-8.84	4.46	-5.6	
tfrrs	67845	None	67	-8.52	4.23	-5.6	
anet	142520	2	23	-9.89	5.48	-5.6	
tfrrs	43942	None	104	-8.42	4.55	-5.6	
anet	125556	1	119	+9.20	4.94	+5.6	
tfrrs	77502	None	135	-8.41	5.09	-5.6	
tfrrs	14554	None	64	-9.23	7.10	-5.6	
tfrrs	29347	None	23	-8.72	3.06	-5.6	
tfrrs	82333	None	109	-8.34	4.01	-5.6	
tfrrs	15966	None	18	-10.49	5.72	-5.6	
tfrrs	55019	None	22	-9.61	4.89	-5.6	
tfrrs	55259	None	15	-10.78	5.59	-5.6	
tfrrs	76887	None	66	-8.93	6.08	-5.6	
tfrrs	24747	None	50	-8.64	4.20	-5.6	
tfrrs	58208	None	24	-8.40	2.14	-5.6	
anet	330548	1	48	-9.02	5.52	-5.6	
tfrrs	6848	None	22	-9.62	4.90	-5.6	
anet	218973	1	20	+10.35	4.26	+5.6	
tfrrs	54613	None	51	-8.54	3.82	-5.6	
tfrrs	76319	None	91	-8.46	4.60	-5.6	
tfrrs	35085	None	47	-8.38	2.91	-5.6	
tfrrs	66189	None	293	-8.25	5.24	-5.6	
tfrrs	58682	None	68	-9.14	7.01	-5.6	
tfrrs	71579	None	81	-8.49	4.60	-5.6	
tfrrs	71040	None	43	-8.84	4.69	-5.6	
tfrrs	13943	None	33	-8.76	3.85	-5.6	
tfrrs	84099	None	33	-9.39	5.51	-5.6	
tfrrs	1867	None	14	-10.42	4.99	-5.6	
tfrrs	67873	None	113	-8.35	4.36	-5.6	
anet	566665	1	12	+12.43	5.32	+5.6	
tfrrs	90670	None	58	-9.07	6.30	-5.6	
tfrrs	66461	None	98	-8.61	5.88	-5.6	
tfrrs	53327	None	36	-8.44	2.90	-5.6	
tfrrs	40255	None	44	-9.75	7.31	-5.6	
tfrrs	31584	None	56	-8.50	3.94	-5.6	
tfrrs	74458	None	41	-9.37	6.14	-5.6	
tfrrs	90835	None	50	-8.87	5.22	-5.5	
tfrrs	55966	None	135	-8.38	5.12	-5.5	
tfrrs	17039	None	22	+15.03	9.93	+5.5	
anet	76588	1	37	+10.76	6.65	+5.5	
tfrrs	63319	None	152	-8.32	4.91	-5.5	
anet	315270	1	50	+9.59	4.80	+5.5	
tfrrs	16689	None	55	-8.89	5.58	-5.5	
tfrrs	4052	None	27	-9.09	4.39	-5.5	
tfrrs	48962	None	19	-8.86	3.22	-5.5	
tfrrs	65285	None	91	-8.47	4.89	-5.5	
tfrrs	44627	None	58	-8.85	5.56	-5.5	
tfrrs	89015	None	23	-10.81	7.05	-5.5	
tfrrs	31814	None	60	-8.50	4.14	-5.5	
tfrrs	90774	None	39	-8.69	4.06	-5.5	
tfrrs	78593	None	71	-9.16	7.40	-5.5	
tfrrs	66630	None	83	-8.46	4.66	-5.5	
tfrrs	92213	None	13	-9.35	3.46	-5.5	
tfrrs	94506	None	40	-9.59	6.68	-5.5	
tfrrs	81804	None	97	-8.42	4.83	-5.5	
anet	258100	1	72	+9.21	4.24	+5.5	
tfrrs	46013	None	114	-8.28	4.04	-5.5	
tfrrs	50179	None	31	-9.25	5.12	-5.5	
tfrrs	23431	None	34	-9.08	4.95	-5.5	
tfrrs	29079	None	58	-9.21	6.92	-5.5	
tfrrs	37380	None	45	-9.30	6.35	-5.5	
tfrrs	87375	None	116	-8.58	6.43	-5.5	
tfrrs	58375	None	93	-8.29	3.82	-5.5	
anet	349105	1	91	+9.00	3.57	+5.5	
