# tfrrs_meet	top_score	runner_score	tfrrs_location_raw   (ambiguous -> geocode pile)
13775	1.00	1.00	Southern Illinois Carbondale, IL 62901
17922	1.00	1.00	Baltimore County Agricultural Center Cockeysville, MD 21030
25885	1.00	1.00	Brookdale CC 765 Newman Springs Road Lincroft, NJ 07738
14317	1.00	1.00	Russian Jack Springs Golf Course Anchorage, AK 99504
14820	1.00	1.00	Columbia (S.C.) Columbia, SC 29203
23556	1.00	1.00	William F. Sheffield Regional Park Jacksonville, FL 32209
25463	1.00	1.00	Chain of Lakes Titusville, FL
26706	1.00	1.00	Wheaton St. James Park Wheaton, IL 60625
17429	1.00	1.00	Seminole Park Cross-Country Course Cedar Rapids, IA 52402
8920	1.00	1.00	Jefferson Park Golf Course Seattle, WA 98115
12236	1.00	1.00	Illinois-Chicago Chicago, IL 60608
8732	1.00	1.00	Asheville Christian Academy Swannanoa, NC 28645
8986	1.00	1.00	Pacer Path Aiken, SC
12233	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12211	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12239	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12238	1.00	1.00	Illinois-Chicago Chicago, IL 60608
11784	1.00	1.00	Virginia Wesleyan University Virginia Beach, VA 23455
11768	1.00	1.00	James Island County Park Charleston, SC 29613
11787	1.00	1.00	Spring Lake State Park Macomb, IL 61455
15564	1.00	1.00	Univ of the Ozarks Trails Clarksville, AR
8819	1.00	1.00	Red Rocks Park South Burlington, VT 05405
8530	1.00	1.00	Northern Michigan Marquette, MI 12345
8427	1.00	1.00	Bluffton Nature Preserve Bluffton, OH 45818
8753	1.00	1.00	Louisiana Tech Ruston, LA 71270
8474	1.00	1.00	LIberty Park Delaware, OH 43015
8478	1.00	1.00	McDade Park Scranton, PA 18504
8477	1.00	1.00	McDade Park Scranton, PA 18504
8664	1.00	1.00	Rice 6100 Main Houston, TX 77251
8485	1.00	1.00	ChesLen Preserve 1199 Cannery Rd Coatesville, PA 19320
8484	1.00	1.00	Big Green Soccer Complex 2800 W Gore Lawton, OK 73505
14895	1.00	1.00	Unionville High School 750 Unionville Rd Kennett Square, PA 19348
8721	1.00	1.00	Otterbein University Westerville, OH 43082
8807	1.00	1.00	Georgia Industrial Children's Home 4690 N. Mumford Rd. Macon, GA 31216
8960	1.00	1.00	Mingo Creek Park Finleyville, PA 15301
8814	1.00	1.00	Texas A&M College Station, TX 77842
14971	1.00	1.00	Franciscan (Ohio) Steubenville, OH 43952
15014	1.00	1.00	Bethpage State Park Farmingdale, NY
15192	1.00	1.00	Dickinson Park West High Street Carlisle, PA 17013
11418	1.00	1.00	Illinois Champaign, IL 61820
8590	1.00	1.00	Univ. of Akron - Firestone Metro Park Akron, OH 44319
8653	1.00	1.00	Aspen Ridge Golf Course 1763 E 4000n Rd Bourbonnaise, IL 60914
14941	1.00	1.00	Ottawa Park Golf Course Toledo, OH 43606
11984	1.00	1.00	University of Maine College Ave Orono, ME 04469
12184	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12178	1.00	1.00	Percy Warner Park Percy Warner Park Nashville, TN 37221
12185	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12173	1.00	1.00	Shippensburg University Cross Country Shippensburg, PA 17257
8771	1.00	1.00	Catawba College Salisbury, NC 28645
17959	1.00	1.00	Chabot Stadium Hayward, CA 94545
25744	1.00	1.00	Heritage Park Adrian, MI
12043	1.00	1.00	Frank Liske Park Concord, NC 28036
8562	1.00	1.00	University of South Carolina Columbia, SC 29208
8054	1.00	1.00	South County Regional Park 11200 Park Access Road Boca Raton, FL 33498
11000	1.00	1.00	SUGAR CREEK PARK Houston, TX 77204
8433	1.00	1.00	Georgia College and State University Milledgeville, GA 31061
8459	1.00	1.00	Riverside Park Minneapolis, MN 55441
8640	1.00	1.00	Legg Lake South El Monte, CA 91733
8660	1.00	1.00	Morgan Creek Park Palo, IA 50428
9002	1.00	1.00	Earlham College Richmond, IN 47374
9005	1.00	1.00	Rowan College @ Gloucester County Sewell, NJ 08102
26051	1.00	1.00	Central Arizona 8470 N. Overfield Coolidge, AZ 85128
26049	1.00	1.00	Shelby Farms CC Course Memphis, TN 38112
11871	1.00	1.00	Frank G. Bonelli Regional Park-San Dimas, CA San Dimas, CA 91773
8497	1.00	1.00	MACGREGOR PARK 5225 CALHOUN HOUSTON, TX 77021
8498	1.00	1.00	Houston Houston, TX 77204
8700	1.00	1.00	Ewing Park, Des Moines, IA Des Moines, IA 50311
17021	1.00	1.00	Tipton HS XC Tipton, IN 46072
8935	1.00	1.00	Carleton College Northfield, MN 55441
25698	1.00	1.00	Classical Academy MS 3k v2025 8000 Bee Ridge Rd Sarasota, FL 34241
25998	1.00	1.00	Dresden Athletics Fields 41 Lebanon St. Norwich, VT 03755
11983	1.00	1.00	Bridgewater College 402 E. College St. Bridgewater, VA 22812
26975	1.00	1.00	Brookdale CC 765 Newman Springs Road Lincroft, NJ 07738
8630	1.00	1.00	Misericordia Dallas, PA 18612
23262	1.00	1.00	101 St. Olaf Ave. 101 St. Olaf Ave. Northfield, MN 55057
12214	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12216	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12182	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12187	1.00	1.00	Illinois-Chicago Chicago, IL 60608
26170	1.00	1.00	Cocoa Beach Cocoa Beach, FL 32931
25912	1.00	1.00	Winthrop Farm Course Rock Hill, SC 29733
16139	1.00	1.00	Messiah College Mechanicsburg, PA 17055
16285	1.00	1.00	Cole Acres Country Club Platteville, WI 53818
18730	1.00	1.00	Big Green Soccer Comples Lawton, OK 73501
8023	1.00	1.00	Pleasant Hills Golf Club 4452 East Millbrook Road Mt. Pleasant, MI 48858
11033	1.00	1.00	LU Cross Country Course Lincoln University, PA 19352
19563	1.00	1.00	Bridgewater XC Course Bridgewater, VA 22812
19579	1.00	1.00	Liberty XC Course Lynchburg, VA 24502
20809	1.00	1.00	Eldon Lyon Park Oklahoma City, OK
21695	1.00	1.00	Plantation Central Park Plantation , FL 33313
7838	1.00	1.00	Huntington University Huntington, IN 46750
8293	1.00	1.00	Wickham Park Manchester, CT 06106
10768	1.00	1.00	Franciscan (Ohio) STEUBENVILLE, OH 43952
14955	1.00	1.00	Bryant Campus Course Smithfield, RI 02917
8378	1.00	1.00	Nelson Park Abilene, TX 78214
12237	1.00	1.00	Illinois-Chicago Chicago, IL 60608
10724	1.00	1.00	Colby College Waterville, ME 04901
9324	1.00	1.00	Freed-Hardeman University Cross-Country Course Henderson, TN 38340
9453	1.00	1.00	Towson Towson, MD 21252
19793	1.00	1.00	Pine Crest West Fort Lauderdale, FL 33334
19795	1.00	1.00	Pine Crest West Fort Lauderdale, FL 33334
12205	1.00	1.00	Illinois-Chicago Chicago, IL 60608
23578	1.00	1.00	RAVINE GARDENS, PALATKA Ravine Gardens Palatka, FL
9316	1.00	1.00	William Penn University Oskaloosa, IA 52577
9315	1.00	1.00	Victor Ashe Park 4901 Bradshaw Rd Knoxville, TN 37912
10428	1.00	1.00	Central Arkansas 20 Kinley Dr Conway, AR
10420	1.00	1.00	Rotary Park Biddeford, ME 04005
25547	1.00	1.00	Freed-Hardeman Cross Country Course 460 Ozier Road Pinson Henderson, TN 38340
11939	1.00	1.00	Bloomsburg Bloomsburg, PA 17815
22635	1.00	1.00	Big Green Soccer Club Lawton, OK
17125	1.00	1.00	DMACC, Ankeny, IA Ankeny, IA 50023
16379	1.00	1.00	Montevallo XC Course 901 Shelby St. Montevallo, AL 35115
18789	1.00	1.00	Hillcrest Golf Club 800 W. Bigelow Ave. Findlay, OH 45840
18792	1.00	1.00	DMACC Ankeny Campus Ankeny, IA 50023
10125	1.00	1.00	Duke University Durham, NC 27705
25016	1.00	1.00	Crystal Springs Belmont, CA
25015	1.00	1.00	Carleton College Arb. Northfield, MN 55057
18101	1.00	1.00	Harding CC Course Searcy, AR 72143
17854	1.00	1.00	Central Arizona Coolidge, AZ 85228
18006	1.00	1.00	Crystal Springs Course Millbrae, CA
