# kind	source	meet_id	div_id	n	c_pct	iqr_pct	d_eff	seasons_flagged	seasons_total	already	proposed	decision	target
# decision <- KEEP/OVERRIDE/DROP/GENDER ; target <- metres or M/F
# c_pct = whole-field spike vs each runner's OWN bracket
DIV	anet	251632	1	13	-12.7	7.9	653	na	na	-	INVESTIGATE		
DIV	tfrrs	14159	None	21	-12.7	5.9	1440	na	na	-	INVESTIGATE		
DIV	anet	546137	1	17	-12.6	7.6	1829	na	na	-	INVESTIGATE		
DIV	anet	317124	1	12	-12.6	6.5	1855	na	na	-	INVESTIGATE		
DIV	anet	143280	1	19	-12.6	5.2	1821	na	na	-	INVESTIGATE		
DIV	anet	219864	1	65	-12.6	7.8	1833	na	na	-	INVESTIGATE		
DIV	tfrrs	61904	None	32	-12.6	4.9	1453	na	na	-	INVESTIGATE		
DIV	tfrrs	19170	None	53	-12.6	4.8	1434	na	na	-	INVESTIGATE		
DIV	tfrrs	40036	None	31	-12.6	4.4	1450	na	na	-	INVESTIGATE		
DIV	tfrrs	93952	None	26	-12.6	3.3	654	na	na	-	INVESTIGATE		
DIV	tfrrs	40283	None	22	-12.6	7.4	1450	na	na	-	INVESTIGATE		
DIV	anet	459222	1	20	-12.6	18.4	1442	na	na	-	INVESTIGATE		
DIV	anet	404716	1	16	-12.6	9.5	1460	na	na	-	INVESTIGATE		
DIV	anet	155653	1	16	-12.6	6.3	1821	na	na	-	INVESTIGATE		
DIV	tfrrs	20768	None	25	-12.6	4.3	1446	na	na	-	INVESTIGATE		
DIV	tfrrs	43964	None	45	-12.5	7.3	1444	na	na	-	INVESTIGATE		
DIV	anet	635508	1	44	-12.5	4.6	1816	na	na	-	INVESTIGATE		
DIV	tfrrs	21384	None	13	+14.3	13.2	649	na	na	-	INVESTIGATE		
DIV	tfrrs	45904	None	14	-12.5	5.6	3139	na	na	-	INVESTIGATE		
DIV	tfrrs	38731	None	35	-12.5	7.1	1450	na	na	-	INVESTIGATE		
DIV	anet	509479	5	12	-12.5	4.0	1806	na	na	-	INVESTIGATE		
DIV	anet	311960	1	13	+14.3	11.9	1444	na	na	-	INVESTIGATE		
DIV	tfrrs	60129	None	25	-12.5	10.2	1453	na	na	-	INVESTIGATE		
DIV	anet	206118	1	49	-12.5	6.5	1823	na	na	-	INVESTIGATE		
DIV	tfrrs	54743	None	36	-12.5	5.1	1466	na	na	-	INVESTIGATE		
DIV	anet	542616	1	14	-12.5	6.6	1417	na	na	-	INVESTIGATE		
DIV	tfrrs	5627	None	20	-12.5	5.1	1426	na	na	-	INVESTIGATE		
DIV	tfrrs	65229	None	15	-12.5	6.8	3133	na	na	-	INVESTIGATE		
DIV	tfrrs	51135	None	50	-12.5	3.5	1445	na	na	-	INVESTIGATE		
DIV	tfrrs	16466	None	17	-12.5	4.1	1442	na	na	-	INVESTIGATE		
DIV	tfrrs	48425	None	38	-12.5	6.2	671	na	na	-	INVESTIGATE		
DIV	anet	284356	1	16	-12.5	16.3	1031	na	na	-	INVESTIGATE		
DIV	tfrrs	4385	None	21	-12.5	11.3	1426	na	na	-	INVESTIGATE		
DIV	tfrrs	33782	None	36	-12.5	11.2	1431	na	na	-	INVESTIGATE		
DIV	anet	112019	1	18	-12.5	6.2	1814	na	na	-	INVESTIGATE		
DIV	tfrrs	46549	None	18	-12.5	10.9	1868	na	na	-	INVESTIGATE		
DIV	tfrrs	18420	None	41	-12.4	8.3	1434	na	na	-	INVESTIGATE		
DIV	tfrrs	13502	None	33	-12.4	5.8	1428	na	na	-	INVESTIGATE		
DIV	tfrrs	37845	None	23	-12.4	4.8	1450	na	na	-	INVESTIGATE		
DIV	anet	327738	1	25	-12.4	12.3	657	na	na	-	INVESTIGATE		
DIV	anet	165591	1	21	-12.4	13.9	1038	na	na	-	INVESTIGATE		
DIV	tfrrs	38060	None	16	-12.4	3.7	1475	na	na	-	INVESTIGATE		
DIV	anet	236793	14	27	-12.4	59.2	1834	na	na	-	INVESTIGATE		
