# kind	source	meet_id	div_id	n	c_pct	iqr_pct	d_eff	seasons_flagged	seasons_total	already	proposed	decision	target
# decision <- KEEP/OVERRIDE/DROP/GENDER ; target <- metres or M/F
# c_pct = whole-field spike vs each runner's OWN bracket
DIV	anet	114228	454568	34	-37.5	3.6	3093	1	7	-	INVESTIGATE		
DIV	tfrrs	8783	0	22	-37.5	3.8	2938	na	na	-	INVESTIGATE		
DIV	anet	174765	717165	31	-37.4	9.0	2863	9	32	-	INVESTIGATE		
DIV	tfrrs	8458	0	15	-37.4	4.2	3165	na	na	OVERRIDE	REGRESSION		
DIV	tfrrs	7891	1	15	-37.4	2.1	4515	na	na	-	INVESTIGATE		
DIV	tfrrs	6941	0	30	-37.4	3.5	3170	na	na	OVERRIDE	REGRESSION		
DIV	tfrrs	15285	0	75	-37.3	3.8	4007	na	na	-	INVESTIGATE		
DIV	tfrrs	10128	0	23	-37.3	4.3	4851	na	na	-	INVESTIGATE		
DIV	anet	250197	995027	67	-37.2	5.8	2854	4	20	-	INVESTIGATE		
DIV	anet	64569	278637	15	-37.2	4.7	1851	1	11	-	INVESTIGATE		
DIV	anet	256298	1018816	14	-37.2	6.8	3073	1	3	-	INVESTIGATE		
DIV	anet	57377	245655	16	-37.1	2.6	3087	1	30	-	INVESTIGATE		
DIV	anet	234415	937486	47	-37.0	6.7	3077	5	18	-	INVESTIGATE		
DIV	anet	124839	502445	67	-37.0	4.9	3093	2	8	-	INVESTIGATE		
DIV	anet	61405	275188	13	-37.0	4.4	1541	1	13	-	INVESTIGATE		
DIV	anet	105175	414042	43	-36.9	7.1	2237	2	11	-	INVESTIGATE		
DIV	tfrrs	8916	9	190	-36.9	4.2	5048	na	na	OVERRIDE	REGRESSION		
DIV	tfrrs	9118	0	35	-36.8	2.2	5048	na	na	-	INVESTIGATE		
DIV	anet	255603	1016469	41	+58.2	5.9	2237	4	13	-	INVESTIGATE		
DIV	tfrrs	8297	0	46	-36.7	3.5	3165	na	na	OVERRIDE	REGRESSION		
DIV	anet	229091	913414	51	-36.7	5.7	3097	1	21	-	INVESTIGATE		
DIV	anet	254372	1080441	24	-36.7	2.9	3258	1	13	-	INVESTIGATE		
