# tfrrs_meet	score	runner	location_id	gps_lat	gps_long	anet_course_name	tfrrs_location_raw
20492	1.00	0.25	34127	24.703672	-81.07782	Marathon High School	Marathon Marathon, FL
4153	1.00	0.50	20399	44.602383	-75.18346	SUNY Canton	SUNY Canton Canton, NY 13617
9852	1.00	0.00	3697	37.50329	-97.48529	Clearwater High	Clearwater HS Clearwater, KS 67026
8980	1.00	0.50	23083	31.979267	-95.095	New Summerfield HS	New Summerfield TX-110 New Summerfield, TX 75780
9509	1.00	0.67	5664	43.86075	-91.21971	Fields for Kids	Fields for Kids Soccer Complex 700 N Pettibone Drive La Crosse, WI 64601
8010	1.00	0.75	8747	38.662125	-78.6707	New Market Battlefield 	New Market Battlefield New Market, VA 22846
8105	1.00	0.50	47563	41.54431	-72.66679	Long Lane Farm	Long Lane Farm 100 Long Farm Road Middletown, CT 06459
8222	1.00	0.50	31052	42.912502	-71.072525	Sanborn Regional High School	Sanborn Regional High School Kingston, NH 13323
11338	1.00	0.25	24434	28.007912	-81.91145	Holloway Park	Holloway Park XC Course Lakeland, FL 33801
9277	1.00	0.50	10223	45.15886	-93.871	Buffalo Heights Golf Course	Buffalo Heights Golf Course 905 Highway 25 S Buffalo, MN 55313
5528	1.00	0.67	17497	38.86936	-99.29585	Hays High School	Sand Plum Hays, KS 67601
5589	1.00	0.50	13636	40.096992	-75.073654	Lorimer Park	Lorimer Park Cross-Country Course Huntingdon Valley, PA 19006
7806	1.00	0.50	999	30.51534	-87.36921	Escambia County Equestrian Center	Escambia County Equestrian Center- Pensacola Pensacola, FL 32806
8182	1.00	0.50	30866	64.87718	-147.81714	Fairbanks Golf Course	Alaska Fairbanks Fairbanks, AK 99709
8734	1.00	0.50	26913	44.00826	-73.177315	Middlebury College	Middlebury College Middlebury, VT 05452
10234	1.00	0.33	5892	36.096203	-94.16504	University of AR XC course	Saint Mary's University City Not Supplied, AR
18596	1.00	0.33	24499	41.87157	-80.120804	Edinboro	Doug Watts Course Edinboro, PA 16444
12438	1.00	0.00	6706	38.992332	-94.69774	Overland	JCCC Overland Park, KS 66210
16008	1.00	0.67	8017	44.04578	-91.69563	Saint Mary's University of Minnesota	Saint Mary's University of Minnesota 700 Terrace Heights Winona, MN 55987
11642	1.00	0.75	12517	38.975304	-76.48879	St. Mary's School - High School	Mount St. Mary's Emmitsburg, MD 21727
11644	1.00	0.00	21787	39.421665	-76.701294	Stevenson University	Stevenson Stevenson, MD 21153
26977	1.00	0.50	31824	32.024197	-81.06258	Savannah State University	Savannah State University 1 University Blvd Savannah, GA 30066
27004	1.00	0.00	48982	31.270977	-86.47399	22940 AL-55	TRM , AL
12137	1.00	0.75	12517	38.975304	-76.48879	St. Mary's School - High School	Mount St. Mary's Emmitsburg, MD 21727
12096	1.00	0.75	44067	40.44838	-79.924545	Chatham University	Chatham Eden Hall Campus Ridge Road Gibsonia, PA
25569	1.00	0.50	30571	26.60928	-81.97862	Cape Coral HS	Baker (Cape Coral) 3500 Aqualinda Blvd Cape Coral, FL 33914
24241	1.00	0.25	46576	28.226686	-81.58783	Davenport High School	DHS XC Davenport, FL 33837
15263	1.00	0.67	46467	32.44273	-81.76281	Statesboro High School	7 Mile Farm Statesboro, GA 30066
15274	1.00	0.50	5180	41.47181	-88.182076	Channahon Community Park	Channahon Park 23304 W. McClintock Rd Channahon, IL 60410
15094	1.00	0.50	24230	38.03065	-84.50397	University of Kentucky	Kentucky Wesleyan Owensboro, KY
15116	1.00	0.50	8210	42.96742	-78.95953	Beaver Island State Park	Beaver Island State Park 2136 Oakfield Road Grand Island, NY 14072
18519	1.00	0.67	23396	38.96857	-94.98427	Lexington Trails Middle School	Lexington Lake De Soto, KS 66018
11938	1.00	0.50	8194	34.03808	-84.58157	Kennesaw State University	Kennesaw Cartersville, GA 30144
26567	1.00	0.33	28694	44.005096	-71.09811	Kennett High School	KENNETT 176 Main St. Conway, NH 03818
10236	1.00	0.67	48100	39.09071	-97.73533	Rock City Park	Rim Rock Farms Lawrence, KS 66045
22503	1.00	0.50	48731	43.127472	-71.75843	John Stark Regional High School	John Stark Regional High School Weare, NH 03281
14216	1.00	0.00	24965	37.26723	-81.23744	Bluefield State	Lotito Park Bluefield, WV
19385	1.00	0.50	23334	28.564047	-82.4949	Central High School	Central High School Brooksville, FL 34613
19389	1.00	0.67	37938	46.39322	-116.974014	LCSC - XC course	LCSC XC Traile Lewiston, ID 83501
12518	1.00	0.00	31661	39.58299	-77.003716	McDaniel College	McDaniel City Not Supplied, MD
27244	1.00	0.00	48982	31.270977	-86.47399	22940 AL-55	TRM , AL
11216	1.00	0.50	7613	42.3163	-72.64031	Smith College	Smith College 106 Village Street Northampton, MA
8624	1.00	0.50	44628	41.012943	0.0	Country Club Drive	Elizabethtown College Campus Loop One Alpha Drive Elizabethtown, PA 17022
20181	1.00	0.00	21073	42.733547	-71.59456	Hollis Brookline High School	North Star Timing Hollis-Brookline, NH 03049
9018	1.00	0.00	20573	37.256367	-85.48906	Green County High School	Spero Kereiakes Park Bowling Green, KY 42103
13925	1.00	0.33	19953	36.09185	-80.0787	Ivey Redmon Sports Complex	Ivey M. Redmon Sports Complex Kernersville, NC
13600	1.00	0.50	9421	37.28538	-79.943756	Washington Park	Mary Washington Fredericksburg, VA
14743	1.00	0.67	8109	44.92531	-93.18282	St. Catherine University	St. Catherine University 2004 Randolph Ave Saint Paul, MN 55105
12562	1.00	0.50	7613	42.3163	-72.64031	Smith College	Smith College Cross Country Course Northampton, MA
12541	1.00	0.00	31661	39.58299	-77.003716	McDaniel College	McDaniel City Not Supplied, MD
25778	1.00	0.50	26913	44.00826	-73.177315	Middlebury College	Middlebury College Middlebury College, Athletics Middlebury, VT 05753
26681	1.00	0.50	798	37.79995	-87.026535	Yellow Creek Park	Yellow Creek Park 3000 Fredrica St. Owensboro, KY 42303
14818	1.00	0.00	25016	42.7536	-78.821434	Hilbert	Hilbert Hamburg, NY
19599	1.00	0.50	24733	41.66931	-73.98069	Hudson Valley Sports Dome	Hudson Valley Sports Dome Milton, NY 12550
24496	1.00	0.50	43554	30.482635	-81.6083	First Coast High School	First Coast Jacksonville, FL 32218
13230	1.00	0.00	21112	47.931187	-97.009346	East Grand Forks	UND Cross Country Course Grand Forks, ND 58202
24340	1.00	0.25	34127	24.703672	-81.07782	Marathon High School	Marathon Marathon, FL
13601	1.00	0.50	9421	37.28538	-79.943756	Washington Park	Mary Washington Fredericksburg, VA
13768	1.00	0.00	21787	39.421665	-76.701294	Stevenson University	Stevenson University Stevenson, MD 21153
13663	1.00	0.75	12517	38.975304	-76.48879	St. Mary's School - High School	Mount St. Mary's Univerisity Emmitsburg, MD 21727
26243	1.00	0.33	43346	38.469414	-85.947716	Borden	Borden , IN
14760	1.00	0.00	25016	42.7536	-78.821434	Hilbert	Hilbert College Hamburg, NY 14075
21144	1.00	0.33	19681	38.06802	-97.92053	Hutchinson Community College	Hutchinson Community College Hutchinson, KS 66062
13392	1.00	0.67	46437	35.93932	-77.835556	Rocky Mount High School	NC Wesleyan Rocky Mount, NC
13372	1.00	0.50	8386	33.575787	-102.36285	South Plains College Complex	South Plains College Track Levelland, TX 79336
13387	1.00	0.50	21055	35.735107	-77.91627	Barton College	Barton Wilson, NC
19576	1.00	0.33	47335	32.261063	-110.85135	Tucson Country Club	Tucson Country Club Tucson, AZ 85721
20035	1.00	0.25	46576	28.226686	-81.58783	Davenport High School	Davenport Davenport, FL 33837
20031	1.00	0.00	40033	36.213642	-83.26157	Walters State Community College	Walters State CC Course Mroristown, TN
20044	1.00	0.25	46576	28.226686	-81.58783	Davenport High School	Davenport Davenport, FL 33837
20037	1.00	0.25	46576	28.226686	-81.58783	Davenport High School	Davenport Davenport, FL 33837
20034	1.00	0.25	46576	28.226686	-81.58783	Davenport High School	Davenport Davenport, FL 33837
15197	1.00	0.67	44077	30.027313	-90.06801	The University of New Orleans	City Park New Orleans, LA 70118
15061	1.00	0.50	46574	34.26848	-81.41982	The Farm	Bobby Clarke Farm Due West, SC
15045	1.00	0.50	29162	32.866955	-79.97522	North Charleston	Jones Island County Park Charleston, SC
15125	1.00	0.50	31914	43.2542	-87.91553	Concordia University	Concordia (Wis.) Mequon, WI 53097
15176	1.00	0.67	5892	36.096203	-94.16504	University of AR XC course	First Tee Fort Smith, AR
15327	1.00	0.00	38560	38.90756	-76.9545	Kenilworth Park	Kenilworth Park Washington, DC 20019
15485	1.00	0.75	49340	39.71215	-75.776054	White Clay Creek State Park	White Clay Creek Newark, DE 19716
15513	1.00	0.50	44986	40.579647	-85.82081	Oak Hill High School	Oak Hill High School Mier, IN 83605
21237	1.00	0.67	48378	39.45647	-87.26305	LaVern Gibson Championship Cross Country Course	LaVern Gibson Championship Cross Country Course 599 Tabertown St Terre Haute, IN 47803
20173	1.00	0.33	22782	28.02328	-82.71141	Countryside High School	Countryside HS clearwater, FL 34621
20163	1.00	0.50	25016	42.7536	-78.821434	Hilbert	2022 Hilbert College Meghan Memorial XC 5200 South Park Avenue Hamburg, NY 14075
13508	1.00	0.50	2408	39.144947	-78.19719	Kernstown Battlefield	Kernstown Battlefield Kernstown, VA
13512	1.00	0.50	24875	28.07418	-82.407425	The Claw	The Claw: USF Golf Course Tampa, FL 11111
24854	1.00	0.33	43938	36.102825	-79.502365	Elon University	Elon University , NC
24613	1.00	0.33	31059	38.988186	-85.62426	Muscatatuck Park	Muscatatuck State Park , IN
24601	1.00	0.33	19646	43.200436	-71.55118	Concord High School	Concord High School Concord, NH 03301
24519	1.00	0.50	33808	30.319841	-91.11818	LSU University Club Course	LSU Baton Rouge, LA 70894
24815	1.00	0.50	13654	36.847553	-94.40609	Neosho Middle School	Crowder College Neosho, MO
